id,nombre,horasTrabajadas,sueldo
1,Lou,6553320,10000
2,Ulrike,6553320,25000
3,Brade,6553320,20000
4,Kimbell,6553320,50000
5,Sheelagh,6553320,18000
6,Gayle,6553320,30000
7,Kimberlee,6553320,33000
8,Henrieta,6553320,30000
9,Jeanine,6553320,18000
10,Aggie,6553320,15000
11,Brandea,6553320,15000
12,Cordelie,6553320,50000
13,Shel,6553320,50000
14,Bronnie,6553320,20000
15,Megen,6553320,10000
16,Iver,6553320,12000
17,Ernesta,6553320,37000
18,Cirillo,6553320,50000
19,Park,6553320,30000
20,Bellanca,6553320,15000
21,Bobbye,6553320,15000
22,Eugene,6553320,50000
23,Johnny,6553320,33000
24,Reagen,6553320,42000
25,Braden,6553320,25000
26,Karim,6553320,25000
27,Anthea,6553320,42000
28,Doro,6553320,33000
29,Gaye,6553320,37000
30,Toby,6553320,15000
31,Franny,6553320,15000
32,Katey,6553320,42000
33,Earle,6553320,10000
34,Redd,6553320,42000
35,Jehanna,6553320,50000
36,Cristie,6553320,10000
37,Stefa,6553320,42000
38,Roda,6553320,25000
39,Alfredo,6553320,10000
40,Sydney,6553320,10000
41,Brnaba,6553320,30000
42,Ame,6553320,50000
43,Bradney,6553320,25000
44,Margarete,6553320,50000
45,Nikoletta,6553320,50000
46,Lonnard,6553320,50000
47,Raine,6553320,30000
48,Noella,6553320,15000
49,Dagmar,6553320,25000
50,Carroll,6553320,42000
51,Marion,6553320,50000
52,Carline,6553320,12000
53,Hyacinthie,6553320,15000
54,Julina,6553320,33000
55,Corina,6553320,37000
56,Bernardine,6553320,33000
57,Homer,6553320,18000
58,Lianna,6553320,12000
59,Celene,6553320,50000
60,Kori,6553320,50000
61,Deeyn,6553320,20000
62,Marysa,6553320,20000
63,Loy,6553320,15000
64,Gabbey,6553320,37000
65,Star,6553320,33000
66,Dominica,6553320,33000
67,Blanch,6553320,15000
68,Cristobal,6553320,15000
69,Paulita,6553320,50000
70,Sayre,6553320,33000
71,Shaughn,6553320,15000
72,Katrine,6553320,25000
73,Cristi,6553320,42000
74,Cristie,6553320,25000
75,Solomon,6553320,10000
76,Nananne,6553320,33000
77,Sacha,6553320,25000
78,Morse,6553320,25000
79,Roland,6553320,25000
80,Jesselyn,6553320,30000
81,Kylila,6553320,12000
82,Kendre,6553320,25000
83,Lesya,6553320,15000
84,Tatiania,6553320,20000
85,Trenton,6553320,12000
86,Angie,6553320,20000
87,Joelle,6553320,37000
88,George,6553320,30000
89,Guenevere,6553320,30000
90,Margaretha,6553320,10000
91,Sully,6553320,15000
92,Lonni,6553320,50000
93,Nicky,6553320,42000
94,My,6553320,18000
95,Kyrstin,6553320,37000
96,Martino,6553320,15000
97,Marcellus,6553320,50000
98,Jacquelin,6553320,30000
99,Aleda,6553320,50000
100,Georgeta,6553320,10000
101,Marcille,6553320,10000
102,Ertha,6553320,10000
103,Desiri,6553320,25000
104,Geneva,6553320,33000
105,Kilian,6553320,42000
106,Nance,6553320,10000
107,Gaven,6553320,10000
108,Carlie,6553320,10000
109,Trixie,6553320,42000
110,Dominick,6553320,30000
111,Petey,6553320,15000
112,Tersina,6553320,30000
113,Johnathon,6553320,15000
114,Freddie,6553320,12000
115,Harmon,6553320,50000
116,Tracey,6553320,20000
117,Cherrita,6553320,33000
118,Stu,6553320,12000
119,Glenda,6553320,37000
120,Lorettalorna,6553320,25000
121,Patrizio,6553320,15000
122,Linda,6553320,30000
123,Pippa,6553320,20000
124,Pen,6553320,18000
125,Esteban,6553320,15000
126,Fonzie,6553320,15000
127,Cindelyn,6553320,12000
128,Zacharie,6553320,30000
129,Vina,6553320,42000
130,Omero,6553320,10000
131,Tom,6553320,33000
132,Dante,6553320,30000
133,Cordy,6553320,18000
134,Stephenie,6553320,50000
135,Dunstan,6553320,20000
136,Gideon,6553320,15000
137,Johnette,6553320,10000
138,Brynn,6553320,50000
139,Yankee,6553320,42000
140,Corbin,6553320,42000
141,Coreen,6553320,18000
142,Tanya,6553320,30000
143,Jenna,6553320,25000
144,Flora,6553320,33000
145,Dianna,6553320,20000
146,Armand,6553320,15000
147,Gustie,6553320,42000
148,Benton,6553320,12000
149,Lena,6553320,25000
150,Dot,6553320,18000
151,Meryl,6553320,12000
152,Babbie,6553320,15000
153,Byram,6553320,42000
154,Bertine,6553320,25000
155,Osbert,6553320,42000
156,Tanny,6553320,42000
157,Maryjo,6553320,12000
158,Clarie,6553320,42000
159,Kipp,6553320,15000
160,Leonie,6553320,50000
161,Ferdie,6553320,15000
162,Ofella,6553320,50000
163,Pascale,6553320,15000
164,Cathrin,6553320,30000
165,Sib,6553320,33000
166,Darleen,6553320,42000
167,Didi,6553320,15000
168,Lodovico,6553320,18000
169,Farley,6553320,12000
170,Devi,6553320,25000
171,Clair,6553320,37000
172,Addy,6553320,33000
173,Brandon,6553320,18000
174,Prentiss,6553320,30000
175,Lorant,6553320,50000
176,Wanids,6553320,30000
177,Robbi,6553320,10000
178,Mellicent,6553320,50000
179,Lynea,6553320,20000
180,Nial,6553320,15000
181,Guillaume,6553320,37000
182,Loutitia,6553320,25000
183,Ruthe,6553320,30000
184,Eric,6553320,50000
185,Marcellus,6553320,30000
186,Ian,6553320,42000
187,Sebastien,6553320,37000
188,Scarface,6553320,50000
189,Maible,6553320,18000
190,Waldon,6553320,30000
191,Bethina,6553320,15000
192,Farand,6553320,42000
193,Zolly,6553320,25000
194,Philipa,6553320,42000
195,Roderigo,6553320,20000
196,Otho,6553320,20000
197,Alasteir,6553320,20000
198,Eleonora,6553320,42000
199,Eliot,6553320,12000
200,Alana,6553320,30000
201,Odey,6553320,20000
202,Yorke,6553320,15000
203,Cissiee,6553320,18000
204,Jillana,6553320,18000
205,Mallorie,6553320,30000
206,Borden,6553320,12000
207,Maddie,6553320,33000
208,Weider,6553320,50000
209,Asia,6553320,37000
210,Sayres,6553320,10000
211,Marcile,6553320,30000
212,Thomasina,6553320,42000
213,Darwin,6553320,18000
214,Nicolina,6553320,30000
215,Nita,6553320,12000
216,Nikoletta,6553320,12000
217,Dwight,6553320,42000
218,Romola,6553320,50000
219,Kaile,6553320,33000
220,Mozes,6553320,25000
221,Aylmer,6553320,33000
222,Marina,6553320,12000
223,Enrico,6553320,50000
224,Zonda,6553320,33000
225,Adriano,6553320,33000
226,Trula,6553320,30000
227,Adel,6553320,30000
228,Jeniece,6553320,15000
229,Tabina,6553320,10000
230,Liana,6553320,33000
231,Marmaduke,6553320,10000
232,Alla,6553320,30000
233,Peter,6553320,12000
234,Pietro,6553320,18000
235,Hiram,6553320,20000
236,Anastasia,6553320,18000
237,Cathleen,6553320,10000
238,Leeanne,6553320,15000
239,Chet,6553320,42000
240,Billie,6553320,37000
241,Alexandra,6553320,42000
242,Broddie,6553320,42000
243,Brigham,6553320,25000
244,Cal,6553320,42000
245,Donal,6553320,18000
246,Adam,6553320,20000
247,Dotty,6553320,42000
248,Maynard,6553320,18000
249,Jessee,6553320,30000
250,Tiphani,6553320,42000
251,Jenna,6553320,30000
252,Karlotte,6553320,20000
253,Norene,6553320,25000
254,Morris,6553320,10000
255,Yuri,6553320,25000
256,Gusty,6553320,10000
257,Jori,6553320,12000
258,Sydelle,6553320,30000
259,Merrile,6553320,50000
260,Tadd,6553320,50000
261,Josiah,6553320,10000
262,Melisa,6553320,12000
263,Orelee,6553320,20000
264,Stephen,6553320,37000
265,Blair,6553320,50000
266,Arel,6553320,30000
267,Abbie,6553320,25000
268,Channa,6553320,50000
269,Shirl,6553320,20000
270,Edlin,6553320,20000
271,Larina,6553320,18000
272,Duncan,6553320,37000
273,Bond,6553320,10000
274,Dyann,6553320,50000
275,Charmian,6553320,15000
276,Dru,6553320,50000
277,Kiel,6553320,50000
278,Emory,6553320,15000
279,Alberik,6553320,50000
280,Koenraad,6553320,20000
281,Rafaellle,6553320,50000
282,Edie,6553320,25000
283,Osbert,6553320,15000
284,Sidonia,6553320,10000
285,Bartel,6553320,37000
286,Jodi,6553320,30000
287,Ofelia,6553320,30000
288,Dudley,6553320,42000
289,Dulcea,6553320,25000
290,Gordon,6553320,25000
291,Chalmers,6553320,10000
292,Christiano,6553320,50000
293,Russell,6553320,50000
294,Cleo,6553320,50000
295,Catriona,6553320,42000
296,Leigh,6553320,37000
297,Ddene,6553320,12000
298,Sayre,6553320,18000
299,Jody,6553320,33000
300,Zabrina,6553320,12000
301,Cos,6553320,30000
302,Ron,6553320,20000
303,Charin,6553320,12000
304,Coleman,6553320,33000
305,Jacinda,6553320,50000
306,Silvan,6553320,12000
307,Renie,6553320,33000
308,Davide,6553320,42000
309,Ernestus,6553320,12000
310,Brnaba,6553320,37000
311,Tabor,6553320,37000
312,Lenci,6553320,42000
313,Franchot,6553320,12000
314,Charisse,6553320,50000
315,Timothea,6553320,20000
316,Angelika,6553320,50000
317,Web,6553320,37000
318,Urban,6553320,10000
319,Fan,6553320,18000
320,Donaugh,6553320,12000
321,Wilona,6553320,25000
322,Richard,6553320,42000
323,Hilary,6553320,37000
324,Ad,6553320,33000
325,Maynord,6553320,42000
326,Lina,6553320,12000
327,Nerty,6553320,20000
328,Matias,6553320,33000
329,Urbano,6553320,50000
330,Rosemarie,6553320,33000
331,Booth,6553320,15000
332,Eden,6553320,18000
333,Cornie,6553320,15000
334,Isak,6553320,20000
335,Rand,6553320,20000
336,Dominique,6553320,37000
337,Lira,6553320,30000
338,Filbert,6553320,20000
339,Nona,6553320,30000
340,Melloney,6553320,33000
341,Rafaello,6553320,37000
342,Floria,6553320,12000
343,Johannes,6553320,18000
344,Genevra,6553320,10000
345,Aldric,6553320,50000
346,Janeta,6553320,10000
347,Tarra,6553320,12000
348,Jefferey,6553320,33000
349,Cassie,6553320,50000
350,Maiga,6553320,20000
351,Heddi,6553320,20000
352,Marieann,6553320,50000
353,Carita,6553320,42000
354,Kurtis,6553320,50000
355,Wilfred,6553320,20000
356,Isabelle,6553320,20000
357,Nisse,6553320,37000
358,Ula,6553320,50000
359,Tully,6553320,18000
360,Honor,6553320,30000
361,Sinclair,6553320,50000
362,Buddy,6553320,50000
363,Neilla,6553320,50000
364,Junie,6553320,20000
365,Neely,6553320,20000
366,Klarrisa,6553320,18000
367,Maryellen,6553320,37000
368,Clywd,6553320,33000
369,Deni,6553320,42000
370,Ingrim,6553320,30000
371,Franni,6553320,42000
372,Andy,6553320,37000
373,Veronica,6553320,42000
374,Dalis,6553320,42000
375,Nanni,6553320,25000
376,Vikky,6553320,15000
377,Hussein,6553320,25000
378,Brigg,6553320,10000
379,Crawford,6553320,12000
380,Fran,6553320,30000
381,Silas,6553320,15000
382,Alister,6553320,33000
383,George,6553320,15000
384,Nonnah,6553320,25000
385,Gayel,6553320,20000
386,Demeter,6553320,10000
387,Juliann,6553320,50000
388,Shauna,6553320,25000
389,Anna-maria,6553320,42000
390,Ag,6553320,50000
391,Sherwin,6553320,50000
392,Vikki,6553320,33000
393,Barret,6553320,10000
394,Gaelan,6553320,25000
395,Livy,6553320,20000
396,Iorgos,6553320,18000
397,Charil,6553320,33000
398,Easter,6553320,30000
399,Esdras,6553320,37000
400,Prince,6553320,25000
401,Vail,6553320,33000
402,Rachel,6553320,12000
403,Bar,6553320,20000
404,Willa,6553320,30000
405,Amerigo,6553320,33000
406,Fredric,6553320,50000
407,Mikael,6553320,50000
408,Benson,6553320,20000
409,Sileas,6553320,20000
410,Fidelia,6553320,12000
411,Frayda,6553320,30000
412,Babita,6553320,30000
413,Clair,6553320,42000
414,Morie,6553320,12000
415,Skylar,6553320,20000
416,Dennie,6553320,42000
417,Sibley,6553320,20000
418,Addia,6553320,20000
419,Ed,6553320,18000
420,Lothaire,6553320,12000
421,Neila,6553320,15000
422,Jennifer,6553320,15000
423,Keelby,6553320,15000
424,Chuck,6553320,33000
425,Jordan,6553320,33000
426,Minnnie,6553320,20000
427,Carine,6553320,33000
428,Kelly,6553320,37000
429,Coleman,6553320,25000
430,Pincus,6553320,42000
431,Smitty,6553320,15000
432,Wade,6553320,12000
433,Emmit,6553320,12000
434,Brietta,6553320,42000
435,Wesley,6553320,10000
436,Felicdad,6553320,18000
437,Any,6553320,18000
438,Gardie,6553320,12000
439,Leelah,6553320,25000
440,Garold,6553320,20000
441,Regine,6553320,10000
442,Tam,6553320,20000
443,Davon,6553320,20000
444,Chrissy,6553320,18000
445,Ozzie,6553320,20000
446,Rina,6553320,20000
447,Guy,6553320,42000
448,Lenora,6553320,18000
449,Julietta,6553320,42000
450,Alexandr,6553320,18000
451,Margalit,6553320,15000
452,Samara,6553320,50000
453,Portie,6553320,15000
454,Korella,6553320,33000
455,Hilly,6553320,30000
456,Leeanne,6553320,10000
457,Arnaldo,6553320,10000
458,Kassi,6553320,37000
459,Karen,6553320,20000
460,Mac,6553320,20000
461,Anthia,6553320,37000
462,Marsiella,6553320,20000
463,Shea,6553320,12000
464,Liana,6553320,15000
465,Carley,6553320,12000
466,Carlye,6553320,37000
467,Svend,6553320,25000
468,Kendell,6553320,25000
469,Chrisy,6553320,15000
470,Rod,6553320,50000
471,Ramsay,6553320,20000
472,Saidee,6553320,50000
473,Erek,6553320,10000
474,Salomi,6553320,10000
475,Coletta,6553320,50000
476,Abigael,6553320,12000
477,Mariele,6553320,33000
478,Brooke,6553320,20000
479,Benita,6553320,25000
480,Marissa,6553320,37000
481,Lionello,6553320,37000
482,Tori,6553320,42000
483,Micheil,6553320,37000
484,Kym,6553320,20000
485,Melisse,6553320,10000
486,Bartholomew,6553320,33000
487,Rorie,6553320,25000
488,Hedvige,6553320,37000
489,Dorothea,6553320,15000
490,Tamarah,6553320,50000
491,Skipton,6553320,10000
492,Minny,6553320,33000
493,Joshia,6553320,33000
494,Mirilla,6553320,30000
495,Willey,6553320,15000
496,Conrado,6553320,50000
497,Fredia,6553320,30000
498,Gretchen,6553320,12000
499,Bibbie,6553320,37000
500,Warren,6553320,25000
501,Gabi,6553320,30000
502,Callie,6553320,50000
503,Patton,6553320,15000
504,Karie,6553320,25000
505,Martguerita,6553320,50000
506,Lothaire,6553320,20000
507,Patrice,6553320,37000
508,Lin,6553320,12000
509,Cornie,6553320,42000
510,Irena,6553320,20000
511,Markos,6553320,20000
512,Bird,6553320,18000
513,Lorna,6553320,42000
514,Vincents,6553320,25000
515,Torrey,6553320,42000
516,Pernell,6553320,50000
517,Danya,6553320,25000
518,Erda,6553320,37000
519,Ethe,6553320,20000
520,Coop,6553320,37000
521,Sheridan,6553320,50000
522,Charles,6553320,42000
523,Eddy,6553320,12000
524,Janey,6553320,42000
525,Edan,6553320,20000
526,Homer,6553320,10000
527,Eveline,6553320,37000
528,Helen-elizabeth,6553320,20000
529,Daveta,6553320,20000
530,Mort,6553320,42000
531,Maxi,6553320,37000
532,Nathalie,6553320,37000
533,Dennison,6553320,25000
534,Bunnie,6553320,33000
535,Frans,6553320,33000
536,Delmar,6553320,42000
537,Ced,6553320,20000
538,Caren,6553320,12000
539,Christie,6553320,18000
540,Saunders,6553320,25000
541,Deny,6553320,18000
542,Gene,6553320,15000
543,Margeaux,6553320,18000
544,Prisca,6553320,18000
545,Domini,6553320,18000
546,Henrie,6553320,50000
547,Marj,6553320,18000
548,Mab,6553320,25000
549,Josiah,6553320,12000
550,Mathe,6553320,12000
551,Gauthier,6553320,12000
552,Delmore,6553320,33000
553,Lynett,6553320,37000
554,Lucais,6553320,42000
555,Clarice,6553320,33000
556,Aeriela,6553320,37000
557,Babbie,6553320,15000
558,Caren,6553320,15000
559,Jessamine,6553320,18000
560,Hesther,6553320,15000
561,Sasha,6553320,15000
562,Erica,6553320,10000
563,Keith,6553320,10000
564,Briney,6553320,12000
565,Rutherford,6553320,15000
566,Lemmie,6553320,18000
567,Dur,6553320,25000
568,Modesta,6553320,33000
569,Carter,6553320,33000
570,Retha,6553320,15000
571,Carma,6553320,33000
572,Antonella,6553320,15000
573,Sutherlan,6553320,10000
574,Phillipe,6553320,37000
575,Florida,6553320,37000
576,Corrina,6553320,15000
577,Adrianne,6553320,10000
578,Scarlett,6553320,20000
579,Shel,6553320,25000
580,Delaney,6553320,50000
581,Tiphani,6553320,33000
582,Grier,6553320,42000
583,Annabell,6553320,15000
584,Basil,6553320,12000
585,Horatius,6553320,18000
586,Umeko,6553320,30000
587,Hayes,6553320,10000
588,Lynnette,6553320,37000
589,Hesther,6553320,33000
590,Trumaine,6553320,15000
591,Emlyn,6553320,50000
592,Corabelle,6553320,37000
593,Vic,6553320,25000
594,Cyndia,6553320,33000
595,Gray,6553320,42000
596,Dylan,6553320,30000
597,Isabelle,6553320,20000
598,Eachelle,6553320,37000
599,Howard,6553320,18000
600,Cornall,6553320,18000
601,Emmalee,6553320,18000
602,Brian,6553320,20000
603,Cahra,6553320,50000
604,Arvin,6553320,50000
605,Minda,6553320,15000
606,Dedie,6553320,33000
607,Lydia,6553320,15000
608,Joshia,6553320,25000
609,Bernita,6553320,15000
610,Sayre,6553320,33000
611,Pearla,6553320,20000
612,Fidole,6553320,30000
613,Evin,6553320,12000
614,Fredia,6553320,20000
615,Idalina,6553320,50000
616,Hetti,6553320,30000
617,Kirk,6553320,30000
618,Orson,6553320,25000
619,Lyndsay,6553320,42000
620,Lissy,6553320,37000
621,Odessa,6553320,50000
622,Hestia,6553320,18000
623,Dorotea,6553320,10000
624,Giraud,6553320,15000
625,Tonya,6553320,37000
626,Menard,6553320,37000
627,Nicola,6553320,12000
628,Maddy,6553320,25000
629,Mace,6553320,18000
630,Lyndy,6553320,37000
631,Ivonne,6553320,20000
632,Josepha,6553320,20000
633,Shandra,6553320,50000
634,Viva,6553320,25000
635,Sherwin,6553320,10000
636,Abigail,6553320,18000
637,Rosalia,6553320,18000
638,Merissa,6553320,25000
639,Marylee,6553320,50000
640,Wolfy,6553320,33000
641,Maia,6553320,10000
642,Elinor,6553320,33000
643,Neron,6553320,42000
644,Malachi,6553320,25000
645,Sarajane,6553320,10000
646,Arlie,6553320,42000
647,Felike,6553320,12000
648,Ethan,6553320,12000
649,Ruthy,6553320,20000
650,Hugo,6553320,30000
651,Thorndike,6553320,10000
652,Cesaro,6553320,30000
653,Harmonia,6553320,12000
654,Damara,6553320,12000
655,Maddy,6553320,25000
656,Filmer,6553320,50000
657,Boothe,6553320,12000
658,Dorrie,6553320,42000
659,Willdon,6553320,10000
660,Cindi,6553320,12000
661,Shermie,6553320,12000
662,Byrom,6553320,42000
663,Millie,6553320,15000
664,Natassia,6553320,42000
665,Wheeler,6553320,25000
666,Caritta,6553320,12000
667,Kennan,6553320,12000
668,Katina,6553320,20000
669,Beverlee,6553320,25000
670,Arlette,6553320,30000
671,Jacqueline,6553320,50000
672,Sheila-kathryn,6553320,10000
673,Lambert,6553320,42000
674,Lamont,6553320,33000
675,Immanuel,6553320,33000
676,Nani,6553320,50000
677,Galen,6553320,50000
678,Nilson,6553320,10000
679,Tomi,6553320,50000
680,Flore,6553320,30000
681,Burgess,6553320,12000
682,Tally,6553320,42000
683,Jaquenette,6553320,25000
684,Sly,6553320,42000
685,Yul,6553320,30000
686,Rosalyn,6553320,37000
687,Devondra,6553320,10000
688,Xenos,6553320,37000
689,Terrence,6553320,42000
690,Krystyna,6553320,50000
691,Krishna,6553320,50000
692,Zorina,6553320,18000
693,Baxy,6553320,20000
694,Terrie,6553320,42000
695,Justino,6553320,18000
696,Erhard,6553320,33000
697,Robbie,6553320,30000
698,Paddie,6553320,33000
699,Evelyn,6553320,10000
700,Abbot,6553320,33000
701,Tedra,6553320,33000
702,Rikki,6553320,12000
703,Alverta,6553320,25000
704,Pauly,6553320,30000
705,Ariella,6553320,12000
706,Lia,6553320,20000
707,Petronille,6553320,42000
708,Merle,6553320,10000
709,Hagan,6553320,50000
710,Nikolaus,6553320,30000
711,Cinda,6553320,42000
712,Matelda,6553320,18000
